Suburb,Gender,Percentage
Alpine,Female,30.3
Ararat,Female,49.1
Ballarat,Female,40.9
Banyule,Female,30.8
Bass Coast,Female,45.8
Baw Baw,Female,47.6
Bayside,Female,34.9
Benalla,Female,53.3
Boroondara,Female,26.6
Brimbank,Female,39.1
Buloke,Female,31.6
Campaspe,Female,39.2
Cardinia,Female,40.1
Casey,Female,35.2
Central Goldfields,Female,55.6
Colac-Otway,Female,42.3
Corangamite,Female,41.7
Darebin,Female,38.8
East Gippsland,Female,44.9
Frankston,Female,45.1
Gannawarra,Female,37.9
Glen Eira,Female,24.5
Glenelg,Female,38.9
Golden Plains,Female,39.6
Greater Bendigo,Female,41.1
Greater Dandenong,Female,22.1
Greater Geelong,Female,36.9
Greater Shepparton,Female,35.7
Hepburn,Female,42.2
Hindmarsh,Female,38.8
Hobsons Bay,Female,36.1
Horsham,Female,36.1
Hume,Female,36.6
Indigo,Female,38.2
Kingston,Female,26.3
Knox,Female,28.4
Latrobe,Female,42.3
Loddon,Female,50.1
Macedon Ranges,Female,34.2
Manningham,Female,24.6
Mansfield,Female,28.9
Maribyrnong,Female,29.3
Maroondah,Female,33.5
Melbourne,Female,24.0
Melton,Female,34.9
Mildura,Female,40.0
Mitchell,Female,38.0
Moira,Female,42.6
Monash,Female,22.5
Moonee Valley,Female,36.3
Moorabool,Female,41.7
Moreland,Female,29.4
Mornington Peninsula,Female,37.8
Mount Alexander,Female,39.9
Moyne,Female,33.6
Murrindindi,Female,51.3
Nillumbik,Female,39.5
Northern Grampians,Female,37.7
Port Phillip,Female,26.9
Pyrenees,Female,25.2
Queenscliffe,Female,46.4
South Gippsland,Female,44.1
Southern Grampians,Female,34.2
Stonnington,Female,26.3
Strathbogie,Female,31.7
Surf Coast,Female,30.6
Swan Hill,Female,38.8
Towong,Female,40.9
Wangaratta,Female,43.2
Warrnambool,Female,41.1
Wellington,Female,40.3
West Wimmera,Female,35.1
Whitehorse,Female,23.6
Whittlesea,Female,45.8
Wodonga,Female,36.6
Wyndham,Female,29.7
Yarra,Female,31.6
Yarra Ranges,Female,40.8
Yarriambiack,Female,41.1
Alpine,Male,16.9
Ararat,Male,25.4
Ballarat,Male,30.8
Banyule,Male,25.7
Bass Coast,Male,32.4
Baw Baw,Male,23.2
Bayside,Male,10.5
Benalla,Male,19.7
Boroondara,Male,17.7
Brimbank,Male,16.4
Buloke,Male,35.5
Campaspe,Male,21.2
Cardinia,Male,19.1
Casey,Male,17.7
Central Goldfields,Male,27.9
Colac-Otway,Male,19.5
Corangamite,Male,22.4
Darebin,Male,18.9
East Gippsland,Male,22.2
Frankston,Male,23.8
Gannawarra,Male,27.7
Glen Eira,Male,16.9
Glenelg,Male,17.1
Golden Plains,Male,14.1
Greater Bendigo,Male,31.5
Greater Dandenong,Male,16.0
Greater Geelong,Male,24.3
Greater Shepparton,Male,33.5
Hepburn,Male,29.9
Hindmarsh,Male,21.6
Hobsons Bay,Male,16.1
Horsham,Male,30.6
Hume,Male,19.5
Indigo,Male,34.6
Kingston,Male,18.6
Knox,Male,23.7
Latrobe,Male,28.6
Loddon,Male,32.5
Macedon Ranges,Male,23.9
Manningham,Male,8.4
Mansfield,Male,11.9
Maribyrnong,Male,20.9
Maroondah,Male,18.5
Melbourne,Male,19.5
Melton,Male,28.7
Mildura,Male,29.7
Mitchell,Male,27.1
Moira,Male,26.4
Monash,Male,9.9
Moonee Valley,Male,24.5
Moorabool,Male,24.6
Moreland,Male,24.5
Mornington Peninsula,Male,19.8
Mount Alexander,Male,31.8
Moyne,Male,18.1
Murrindindi,Male,23.2
Nillumbik,Male,25.9
Northern Grampians,Male,19.8
Port Phillip,Male,22.5
Pyrenees,Male,23.8
Queenscliffe,Male,7.7
South Gippsland,Male,25.9
Southern Grampians,Male,13.2
Stonnington,Male,22.3
Strathbogie,Male,42.0
Surf Coast,Male,12.4
Swan Hill,Male,30.4
Towong,Male,19.2
Wangaratta,Male,17.7
Warrnambool,Male,23.6
Wellington,Male,12.8
West Wimmera,Male,21.1
Whitehorse,Male,17.2
Whittlesea,Male,18.0
Wodonga,Male,27.1
Wyndham,Male,20.2
Yarra,Male,21.9
Yarra Ranges,Male,35.8
Yarriambiack,Male,32.0